Movie Name,Year,Timing(min),Rating(10),Votes,Genre,Language
Mr. and Mrs. Iyer,2002,120,7.9,4681,8,16
 Siyaasat,2014,120,5.0,0,12,19
Inth Ka Jawab Patthar,2002,120,3.2,9,151,5
Qalb,0,120,5.0,0,819,9
Nisithe,1963,120,7.2,10,8,2
Cabbie,2019,19,5.0,0,2113,11
Advaitham,1991,181,7.0,275,168,9
Maruppacha,1982,120,5.0,0,0,9
Kachehari,1994,120,6.4,14,1,13
Kismet Road,2004,30,5.0,0,8,19
Fever,2009,120,8.5,8,2110,11
Kaashi Amarnath,2017,162,4.7,11,1819,3
Afsana Dilwalon Ka,2001,195,3.6,1024,819,19
Paradise Street,0,120,5.0,0,51924,5
Namukkore Aakasham,2015,115,5.0,0,8,9
Argentina Fans Kaattoorkadavu,2019,140,4.7,319,822,9
Mr. X,2015,133,3.8,1816,1820,5
Nakhuda,1968,120,5.0,0,0,19
Pakhandi,1984,138,6.5,26,8,5
Ini Ethra Sandhyakal,1979,120,5.0,0,0,9
Bachchan,2013,145,6.6,926,1624,6
Desi Kattey,2014,139,4.0,125,1,5
Vaddante Dabbu,1954,139,6.6,10,58,17
Nooran,1957,120,5.0,0,19,13
Murderer,1935,120,5.0,0,0,5
Tharangam,2017,153,6.3,478,15,9
Zunjar,2003,120,5.0,0,0,10
Pyase Nain,1989,120,5.0,0,8,5
Anokha Chamatkar,1988,120,5.0,0,8,5
Vasudhaika 1957,2016,120,5.0,0,13,17
Insaan Aur Shaitan,1970,120,5.1,14,1,5
Sapthagiri LLB,2017,138,7.2,56,58,17
Prem Vidrohi,2012,120,5.0,0,1,3
Manamantha,2016,164,7.7,840,8,17
August 2,2012,120,4.2,9,24,5
Ponge Ezhu Manohara,2015,120,5.0,0,58,16
Maayon,0,120,5.0,0,1624,16
1:13:7 Ek Tera Saath,2016,120,5.7,57,13,5
Diyar Bhojai,1980,120,5.0,0,19,4
Sair-E-Paristan,1958,120,5.0,0,10,5
Lalkare Sheran De,1994,117,5.0,0,1,13
Azad Champion,1968,120,5.0,0,1,5
Thazampoo,1965,120,6.8,6,0,16
Haseena 420,1988,120,6.2,5,0,19
Record,2019,81,5.0,0,13,19
Raogari Illu,1988,120,5.0,0,58,17
Proud to Be a Sikh,2014,92,7.2,20,8,13
Paranju Theeratha Visheshangal,2007,120,6.3,6,0,9
Banna Bannada Baduku,2017,120,5.0,0,8,6
Aickarakkonathe Bhishaguaranmaar,2018,144,7.8,239,8,9
Laxmi,1957,118,5.0,0,89,5
Patukunte Padivelu,1967,145,5.0,0,8,17
Radha Ghelo Kan,1991,120,5.0,0,8,4
"U, Bomsi N Me",2005,120,7.4,13,5,5
Les Larmes Noires,2015,127,5.0,0,7,19
Baeelveda,1979,120,5.0,0,0,10
Balakot: the true story,2020,120,5.0,0,1,5
